"REF_DATE","GEO","DGUID","Labour force characteristics","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006","Prince Edward Island","2016A000211","Unemployment rate","Females","15 years and over","Percentage","242","units","0","v1063543432","3.8.3.1","9.5","","","","1"
"2007","Prince Edward Island","2016A000211","Unemployment rate","Females","15 years and over","Percentage","242","units","0","v1063543432","3.8.3.1","9.7","","","","1"
"2008","Prince Edward Island","2016A000211","Unemployment rate","Females","15 years and over","Percentage","242","units","0","v1063543432","3.8.3.1","10.0","","","","1"
"2009","Prince Edward Island","2016A000211","Unemployment rate","Females","15 years and over","Percentage","242","units","0","v1063543432","3.8.3.1","10.2","","","","1"
"2010","Prince Edward Island","2016A000211","Unemployment rate","Females","15 years and over","Percentage","242","units","0","v1063543432","3.8.3.1","9.5","","","","1"
"2011","Prince Edward Island","2016A000211","Unemployment rate","Females","15 years and over","Percentage","242","units","0","v1063543432","3.8.3.1","9.8","","","","1"
"2012","Prince Edward Island","2016A000211","Unemployment rate","Females","15 years and over","Percentage","242","units","0","v1063543432","3.8.3.1","9.7","","","","1"
"2013","Prince Edward Island","2016A000211","Unemployment rate","Females","15 years and over","Percentage","242","units","0","v1063543432","3.8.3.1","9.6","","","","1"
"2014","Prince Edward Island","2016A000211","Unemployment rate","Females","15 years and over","Percentage","242","units","0","v1063543432","3.8.3.1","9.0","","","","1"
"2015","Prince Edward Island","2016A000211","Unemployment rate","Females","15 years and over","Percentage","242","units","0","v1063543432","3.8.3.1","9.0","","","","1"
"2016","Prince Edward Island","2016A000211","Unemployment rate","Females","15 years and over","Percentage","242","units","0","v1063543432","3.8.3.1","8.7","","","","1"
"2017","Prince Edward Island","2016A000211","Unemployment rate","Females","15 years and over","Percentage","242","units","0","v1063543432","3.8.3.1","8.0","","","","1"
"2018","Prince Edward Island","2016A000211","Unemployment rate","Females","15 years and over","Percentage","242","units","0","v1063543432","3.8.3.1","8.5","","","","1"
"2019","Prince Edward Island","2016A000211","Unemployment rate","Females","15 years and over","Percentage","242","units","0","v1063543432","3.8.3.1","6.7","","","","1"
"2020","Prince Edward Island","2016A000211","Unemployment rate","Females","15 years and over","Percentage","242","units","0","v1063543432","3.8.3.1","10.7","","","","1"
"2021","Prince Edward Island","2016A000211","Unemployment rate","Females","15 years and over","Percentage","242","units","0","v1063543432","3.8.3.1","8.4","","","","1"
"2022","Prince Edward Island","2016A000211","Unemployment rate","Females","15 years and over","Percentage","242","units","0","v1063543432","3.8.3.1","6.9","","","","1"
"1990","Prince Edward Island","2016A000211","Participation rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543454","3.9.1.1","65.6","","","","1"
"1991","Prince Edward Island","2016A000211","Participation rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543454","3.9.1.1","65.1","","","","1"
"1992","Prince Edward Island","2016A000211","Participation rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543454","3.9.1.1","65.6","","","","1"
"1993","Prince Edward Island","2016A000211","Participation rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543454","3.9.1.1","65.2","","","","1"
"1994","Prince Edward Island","2016A000211","Participation rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543454","3.9.1.1","65.4","","","","1"
"1995","Prince Edward Island","2016A000211","Participation rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543454","3.9.1.1","65.0","","","","1"
"1996","Prince Edward Island","2016A000211","Participation rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543454","3.9.1.1","66.1","","","","1"
"1997","Prince Edward Island","2016A000211","Participation rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543454","3.9.1.1","65.8","","","","1"
"1998","Prince Edward Island","2016A000211","Participation rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543454","3.9.1.1","65.6","","","","1"
"1999","Prince Edward Island","2016A000211","Participation rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543454","3.9.1.1","66.2","","","","1"
"2000","Prince Edward Island","2016A000211","Participation rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543454","3.9.1.1","66.8","","","","1"
"2001","Prince Edward Island","2016A000211","Participation rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543454","3.9.1.1","67.1","","","","1"
"2002","Prince Edward Island","2016A000211","Participation rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543454","3.9.1.1","67.6","","","","1"
"2003","Prince Edward Island","2016A000211","Participation rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543454","3.9.1.1","67.8","","","","1"
"2004","Prince Edward Island","2016A000211","Participation rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543454","3.9.1.1","67.9","","","","1"
"2005","Prince Edward Island","2016A000211","Participation rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543454","3.9.1.1","68.1","","","","1"
"2006","Prince Edward Island","2016A000211","Participation rate","Both sexes","15 years and over","Percentage","242","units","0","v1063543454","3.9.1.1","68.6","","","","1"
